RATING,TITLE,CREDIT,BOX OFFICE,YEAR
33,Kick-Ass 2,Colonel Stars and Stripes,28.9,2013
37,The Incredible Burt Wonderstone,Steve Gray,22.6,2013
47,Mr. Popper's Penguins,Mr. Popper,68.2,2011
72,I Love You Phillip Morris,Steven Russell,2.1,2010
54,Disney's A Christmas Carol,"Scrooge/Ghosts of Christmas Past, Present and Yet to Come",137.9,2009
94,Under the Sea 3D,Narrator,35.1,2009
46,Yes Man,Carl Allen,97.7,2008
79,Dr. Seuss' Horton Hears a Who!,Horton,154.4,2008
8,The Number 23,Walter Sparrow/Det. Fingerling,35.1,2007
29,Fun With Dick and Jane,Dick Harper  Producer,110.4,2005
71,Lemony Snicket's A Series of Unfortunate Events,Count Olaf,118.5,2004
93,Eternal Sunshine Of The Spotless Mind,Joel Barish,34.2,2004
49,Bruce Almighty,Bruce Nolan  Producer,242.6,2003
53,Dr. Seuss' How the Grinch Stole Christmas,The Grinch,259.1,2000
